document_1,document_2,cosine_similarity
renewable_energy,solar_power,0.5982
deep_learning,machine_learning,0.5706
artificial_intelligence,machine_learning,0.5519
deep_learning,document1,0.5108
document1,machine_learning,0.4730
document2,machine_learning,0.4654
artificial_intelligence,deep_learning,0.4520
association_football,basketball,0.4108
deep_learning,document2,0.4065
document1,document2,0.3438
climate_change,renewable_energy,0.3126
association_football,cricket,0.2874
artificial_intelligence,document1,0.2812
artificial_intelligence,document2,0.2555
basketball,cricket,0.2408
climate_change,solar_power,0.1727
artificial_intelligence,renewable_energy,0.1489
artificial_intelligence,climate_change,0.1382
artificial_intelligence,solar_power,0.1095
artificial_intelligence,association_football,0.0812
artificial_intelligence,basketball,0.0604
climate_change,machine_learning,0.0566
artificial_intelligence,cricket,0.0564
climate_change,deep_learning,0.0554
association_football,climate_change,0.0495
deep_learning,renewable_energy,0.0481
association_football,machine_learning,0.0461
machine_learning,renewable_energy,0.0456
association_football,renewable_energy,0.0408
basketball,machine_learning,0.0400
association_football,deep_learning,0.0375
deep_learning,solar_power,0.0356
basketball,climate_change,0.0349
basketball,deep_learning,0.0348
cricket,machine_learning,0.0324
climate_change,cricket,0.0319
machine_learning,solar_power,0.0300
basketball,renewable_energy,0.0293
association_football,solar_power,0.0290
cricket,deep_learning,0.0285
basketball,solar_power,0.0255
cricket,renewable_energy,0.0243
climate_change,document1,0.0218
cricket,solar_power,0.0182
document1,renewable_energy,0.0095
basketball,document2,0.0066
document1,solar_power,0.0058
cricket,document2,0.0048
document2,renewable_energy,0.0047
association_football,document1,0.0039
cricket,document1,0.0035
basketball,document1,0.0034
document2,solar_power,0.0021
association_football,document2,0.0017
climate_change,document2,0.0016
